time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2017-11-04T16:43:26.697	2.811	-93.787	16.022	142274.541	2.329	0.527	0.248	250	25.976
2017-11-04T16:45:31.127	2.246	-95.392	16.400	70441.176	2.153	0.542	-0.009	251	13.020
2017-11-04T17:53:50.516	2.993	-95.253	16.078	23024.783	1.271	0.541	0.164	252	19.783
2017-11-04T17:58:50.447	1.982	-95.416	16.193	419.062	1.466	0.485	-0.293	253	18.637
2017-11-04T18:04:13.034	1.139	-97.821	16.302	12462.749	0.397	0.307	-0.022	254	8.911
2017-11-04T19:21:55.964	2.505	-94.917	15.834	69511.544	2.098	0.602	0.318	255	20.962
2017-11-04T20:38:40.624	2.574	-94.470	15.187	10.495	1.833	0.394	0.887	256	22.670
2017-11-04T20:50:45.996	2.250	-95.255	16.491	0.000	1.062	0.462	0.121	257	14.913
2017-11-04T21:50:25.209	3.098	-97.544	16.128	35539.859	0.693	0.288	0.202	258	14.542
2017-11-04T23:17:49.937	1.698	-95.333	16.126	33723.610	1.237	0.385	0.924	259	11.965
2017-11-05T03:12:11.724	2.225	-95.173	16.587	0.000	1.376	0.512	-0.010	260	19.000
2017-11-05T03:44:12.450	1.843	-94.973	16.399	0.000	0.938	0.434	-0.000	261	12.000
2017-11-05T03:53:26.976	2.140	-94.826	16.522	26700.613	0.504	0.477	0.028	262	12.815
2017-11-05T04:09:42.386	2.870	-95.049	15.923	0.000	2.002	0.537	0.422	263	16.473
2017-11-05T04:25:09.048	2.531	-94.488	15.265	0.000	1.739	0.328	-0.106	264	19.444
2017-11-05T04:38:17.511	1.885	-95.266	16.287	0.000	0.854	0.405	-0.000	265	13.000
2017-11-05T04:50:06.876	1.855	-95.629	16.497	0.000	1.236	0.399	-0.611	266	22.996
2017-11-05T04:53:16.378	2.739	-95.167	16.511	0.000	1.454	0.582	0.882	267	42.018
2017-11-05T04:56:42.537	1.607	-95.263	16.059	16830.684	0.617	0.431	0.592	268	11.000
2017-11-05T04:59:13.021	2.148	-94.293	14.938	0.000	1.665	0.511	-0.246	269	12.683
2017-11-05T05:01:49.574	1.540	-95.036	16.180	26396.482	0.567	0.473	-0.497	270	11.000
